"ID";"PLI_mean_theta";"Lw_theta";"Lw_mean_theta";"Lw_normalized_theta";"Cw_theta";"Cw_mean_theta";"Cw_normalized_theta";"PLI_mean_alpha";"Lw_alpha";"Lw_mean_alpha";"Lw_normalized_alpha";"Cw_alpha";"Cw_mean_alpha";"Cw_normalized_alpha";"PLI_mean_alpha_1";"Lw_alpha_1";"Lw_mean_alpha_1";"Lw_normalized_alpha_1";"Cw_alpha_1";"Cw_mean_alpha_1";"Cw_normalized_alpha_1";"PLI_mean_alpha_2";"Lw_alpha_2";"Lw_mean_alpha_2";"Lw_normalized_alpha_2";"Cw_alpha_2";"Cw_mean_alpha_2";"Cw_normalized_alpha_2";"PLI_mean_beta_1";"Lw_beta_1";"Lw_mean_beta_1";"Lw_normalized_beta_1";"Cw_beta_1";"Cw_mean_beta_1";"Cw_normalized_beta_1";"PLI_mean_beta_2";"Lw_beta_2";"Lw_mean_beta_2";"Lw_normalized_beta_2";"Cw_beta_2";"Cw_mean_beta_2";"Cw_normalized_beta_2";"pcrvtot";"pure_IQ"
1148;0,46065;2,20854;2,05178;1,0764;0,467968;0,457243;1,02345;0,610824;1,65386;1,62741;1,01625;0,624841;0,610911;1,0228;0,66438;1,51733;1,51246;1,00322;0,67201;0,663755;1,01244;0,574718;1,76067;1,73425;1,01523;0,584264;0,573668;1,01847;0,410005;2,45706;2,21209;1,11074;0,4168;0,405077;1,02894;0,354786;2,80733;2,45996;1,14121;0,360323;0,34876;1,03315;21;3,96446428262487
1149;0,439862;2,31996;2,16623;1,07096;0,442981;0,434827;1,01875;0,445867;2,28728;2,12112;1,07834;0,452063;0,44105;1,02497;0,511544;1,98495;1,96232;1,01153;0,508942;0,506988;1,00385;0,501705;2,02513;1,98163;1,02195;0,503716;0,497502;1,01249;0,369506;2,74672;2,38803;1,1502;0,378032;0,363721;1,03934;0,346616;2,90393;2,48067;1,17062;0,356842;0,340691;1,04741;12;-3,87185342814138
1151;0,438805;2,32556;2,21411;1,05034;0,441148;0,434489;1,01533;0,453869;2,24601;2,15799;1,04079;0,455386;0,449482;1,01313;0,533855;1,8995;1,88814;1,00601;0,531582;0,529772;1,00342;0,486928;2,08863;2,06343;1,01221;0,483843;0,48234;1,00312;0,383026;2,64644;2,42199;1,09267;0,387155;0,377959;1,02433;0,397554;2,51955;2,30922;1,09108;0,408079;0,39399;1,03576;6;-12,1992180066089
1154;0,478259;2,12718;1,98807;1,06997;0,488757;0,475325;1,02826;0,553724;1,82936;1,74089;1,05082;0,57209;0,552629;1,03522;0,619876;1,62908;1,61826;1,00669;0,630018;0,618611;1,01844;0,544859;1,85976;1,79919;1,03366;0,552956;0,54178;1,02063;0,403045;2,50263;2,22487;1,12485;0,415229;0,399192;1,04017;0,382701;2,58038;2,2668;1,13834;0,398597;0,377895;1,05478;17;1,70998771647549
1155;0,429261;2,3798;2,28199;1,04286;0,43548;0,426519;1,02101;0,526409;1,92715;1,85816;1,03713;0,539568;0,525039;1,02767;0,554732;1,82594;1,81525;1,00589;0,558539;0,552377;1,01116;0,568629;1,78005;1,75667;1,01331;0,576888;0,566615;1,01813;0,448578;2,26886;2,1213;1,06956;0,461645;0,446609;1,03367;0,357721;2,81776;2,54429;1,10748;0,366061;0,354355;1,03303;15;-3,19921800660889
1158;0,417784;2,44663;2,31267;1,05792;0,415535;0,41237;1,00767;0,528475;1,91942;1,88412;1,01874;0,534053;0,525577;1,01613;0,559181;1,81099;1,8011;1,00549;0,558254;0,555524;1,00491;0,581148;1,74065;1,73151;1,00528;0,584281;0,578435;1,01011;0,347855;2,92751;2,67083;1,0961;0,345585;0,341704;1,01136;0,322647;3,13268;2,82755;1,10791;0,320262;0,31608;1,01323;12;-5,03553571737513
1161;0,42091;2,42854;2,33199;1,0414;0,418424;0,415717;1,00651;0,474709;2,14422;2,08509;1,02836;0,475364;0,46996;1,0115;0,491043;2,07055;2,0555;1,00732;0,485024;0,486106;0,997773;0,52476;1,93343;1,91773;1,00818;0,524041;0,520576;1,00666;0,380563;2,66084;2,44448;1,08851;0,38126;0,375038;1,01659;0,338908;2,95536;2,69189;1,09788;0,33776;0,332778;1,01497;14;-3,03553571737513
1162;0,411587;2,48552;2,38201;1,04345;0,40842;0,40629;1,00524;0,471844;2,15758;2,06057;1,04708;0,478876;0,468583;1,02196;0,513321;1,97786;1,96516;1,00646;0,508845;0,508898;0,999896;0,52015;1,95109;1,9201;1,01614;0,525533;0,517318;1,01588;0,404938;2,51195;2,27843;1,10249;0,419092;0,402287;1,04178;0,303955;3,34812;2,9791;1,12387;0,303952;0,297893;1,02034;13;-4,03553571737513
1163;0,453504;2,24691;2,08526;1,07752;0,466748;0,450723;1,03556;0,568538;1,78034;1,72889;1,02976;0,587471;0,567744;1,03475;0,631459;1,59844;1,59077;1,00482;0,642192;0,630081;1,01922;0,533669;1,90018;1,8498;1,02723;0,5465;0,531467;1,02829;0,388328;2,61722;2,30267;1,1366;0,406408;0,385379;1,05457;0,3414;2,94696;2,5153;1,17162;0,357625;0,337153;1,06072;16;1,29182886109237
1168;0,419511;2,43723;2,32472;1,0484;0,421761;0,414859;1,01663;0,548752;1,84604;1,78105;1,03649;0,567106;0,547649;1,03553;0,519693;1,95286;1,93857;1,00737;0,51839;0,515577;1,00546;0,595434;1,69776;1,67059;1,01626;0,611585;0,59431;1,02907;0,464428;2,1835;2,03656;1,07215;0,485113;0,462424;1,04906;0,354655;2,85183;2,59364;1,09955;0,357177;0,349455;1,0221;15;-2,61737686199201
1172;0,412892;2,47768;2,36173;1,04909;0,411491;0,407562;1,00964;0,418435;2,4404;2,27714;1,0717;0,421317;0,413428;1,01908;0,491758;2,06744;2,05104;1,008;0,486641;0,48686;0,999551;0,471916;2,15734;2,11199;1,02147;0,472184;0,467463;1,0101;0,375488;2,70951;2,47294;1,09566;0,37971;0,370778;1,02409;0,311737;3,26025;2,86708;1,13713;0,316824;0,306318;1,0343;15;-2,61737686199201
1176;0,421503;2,42391;2,29256;1,05729;0,419229;0,415995;1,00777;0,486879;2,08884;2,02672;1,03065;0,487322;0,482725;1,00952;0,530534;1,91175;1,89965;1,00637;0,526888;0,526305;1,00111;0,540185;1,87657;1,86219;1,00772;0,538395;0,536475;1,00358;0,385454;2,61965;2,39392;1,09429;0,387415;0,380142;1,01913;0,361922;2,75346;2,50187;1,10056;0,364562;0,356037;1,02395;20;2,38262313800799
1178;0,458628;2,2205;2,07616;1,06952;0,466332;0,454949;1,02502;0,520386;1,95018;1,8725;1,04148;0,530008;0,517803;1,02357;0,588494;1,71833;1,70633;1,00703;0,593398;0,586044;1,01255;0,513848;1,97577;1,93833;1,01932;0,514975;0,509733;1,01028;0,409883;2,46508;2,20773;1,11657;0,419824;0,405246;1,03597;0,383706;2,59452;2,2675;1,14422;0,398491;0,379422;1,05026;22;4,38262313800799
1180;0,445492;2,28991;2,22159;1,03075;0,44428;0,440695;1,00813;0,442533;2,30555;2,21345;1,04161;0,443828;0,437727;1,01394;0,51332;1,97787;1,96543;1,00633;0,509043;0,508826;1,00043;0,477013;2,13351;2,10639;1,01287;0,475412;0,472394;1,00639;0,366585;2,78782;2,56731;1,08589;0,373074;0,362622;1,02882;0,336397;3,01674;2,73384;1,10348;0,343833;0,332288;1,03474;15;-1,45369457275826
1185;0,476614;2,13211;2,00378;1,06404;0,48878;0,474366;1,03039;0,610764;1,65403;1,60905;1,02795;0,63555;0,610794;1,04053;0,612427;1,64942;1,63407;1,00939;0,625394;0,611593;1,02257;0,663614;1,51912;1,51013;1,00596;0,68257;0,663488;1,02876;0,405355;2,462;2,24062;1,0988;0,416065;0,401461;1,03638;0,377533;2,66172;2,42075;1,09955;0,381853;0,372291;1,02568;15;-1,45369457275826
1186;0,453487;2,24577;2,118;1,06033;0,458852;0,449077;1,02177;0,589879;1,71418;1,67831;1,02138;0,606468;0,588773;1,03005;0,603089;1,67563;1,66796;1,0046;0,608426;0,600363;1,01343;0,619271;1,63072;1,61681;1,0086;0,632778;0,618256;1,02349;0,391252;2,55252;2,33227;1,09444;0,397571;0,385799;1,03051;0,371525;2,70671;2,46059;1,10003;0,376711;0,366528;1,02778;22;7,29182886109237
1187;0,460035;2,21106;2,06426;1,07111;0,469837;0,456866;1,02839;0,685275;1,46998;1,45297;1,01171;0,710038;0,68705;1,03346;0,649989;1,55175;1,54313;1,00558;0,665821;0,649564;1,02503;0,717248;1,403;1,39653;1,00463;0,735794;0,718278;1,02439;0,405011;2,48182;2,25095;1,10256;0,415913;0,401492;1,03592;0,359314;2,81027;2,50507;1,12183;0,36776;0,355317;1,03502;13;-2,29001228352451
1214;0,423226;2,41591;2,31386;1,0441;0,429819;0,419994;1,02339;0,443339;2,30223;2,2119;1,04084;0,445793;0,439157;1,01511;0,505129;2,01148;1,99314;1,0092;0,505674;0,501453;1,00842;0,490351;2,07412;2,04409;1,0147;0,489415;0,486136;1,00675;0,375411;2,71711;2,41544;1,12489;0,394042;0,373491;1,05502;0,370238;2,74541;2,42658;1,13139;0,389608;0,368208;1,05812;22;4,96446428262487
1215;0,389651;2,63357;2,54363;1,03536;0,384103;0,383396;1,00184;0,446077;2,28794;2,18267;1,04823;0,451307;0,44251;1,01988;0,481819;2,11272;2,09436;1,00877;0,477064;0,477064;1;0,497041;2,04585;2,01262;1,01651;0,499693;0,493691;1,01216;0,386618;2,63982;2,40437;1,09793;0,395944;0,3824;1,03542;0,319577;3,17893;2,84751;1,11639;0,319512;0,313284;1,01988;24;6,96446428262487
1216;0,421681;2,42659;2,29938;1,05532;0,426064;0,417913;1,0195;0,492205;2,0671;1,97298;1,0477;0,504777;0,490229;1,02968;0,529574;1,91669;1,90243;1,0075;0,5297;0,525979;1,00708;0,540496;1,87675;1,84496;1,01723;0,549437;0,538451;1,0204;0,413734;2,4609;2,23963;1,0988;0,423521;0,410184;1,03251;0,353759;2,84252;2,50145;1,13635;0,363201;0,34982;1,03825;21;3,38262313800799
1220;0,413668;2,47395;2,4125;1,02547;0,411145;0,408756;1,00585;0,384526;2,66923;2,54714;1,04793;0,383477;0,379984;1,00919;0,484892;2,09827;2,08464;1,00653;0,478795;0,479984;0,997522;0,438104;2,33078;2,3019;1,01255;0,434159;0,433285;1,00202;0,373969;2,74632;2,58778;1,06126;0,375071;0,369777;1,01432;0,333326;3,07297;2,79481;1,09953;0,334995;0,328577;1,01953;16;-1,61737686199201
1222;0,41163;2,48669;2,40638;1,03338;0,408997;0,406464;1,00623;0,415964;2,45741;2,3227;1,058;0,419445;0,411752;1,01868;0,503563;2,01794;2,00431;1,0068;0,500229;0,499186;1,00209;0,461272;2,20954;2,17341;1,01662;0,460311;0,45691;1,00744;0,380631;2,66017;2,44208;1,0893;0,386537;0,376199;1,02748;0,393687;2,55108;2,32316;1,09811;0,406021;0,390449;1,03988;12;-4,45369457275826
1223;0,423903;2,41279;2,35989;1,02241;0,420263;0,41869;1,00376;0,384375;2,67162;2,58045;1,03533;0,380953;0,379044;1,00504;0,493804;2,05971;2,04632;1,00654;0,487519;0,488784;0,997412;0,428274;2,38719;2,35889;1,012;0,422058;0,422895;0,998021;0,357906;2,87632;2,73741;1,05075;0,355594;0,352324;1,00928;0,34509;2,98364;2,81147;1,06124;0,344569;0,339537;1,01482;12;-3,87185342814138
1225;0,506877;2,00423;1,90868;1,05006;0,530314;0,507063;1,04585;0,527319;1,92419;1,88745;1,01947;0,5323;0,524371;1,01512;0,555737;1,82292;1,81088;1,00665;0,557764;0,552582;1,00938;0,557955;1,81546;1,80234;1,00728;0,559717;0,554773;1,00891;0,474029;2,14092;1,97217;1,08556;0,508074;0,475531;1,06843;0,469767;2,15243;1,9578;1,09941;0,512642;0,472974;1,08387;21;2,21894084877424
1230;-6,27744e+66;1e+10;1e+10;1;-6,27744e+66;-6,27744e+66;1;-6,27744e+66;1e+10;1e+10;1;-6,27744e+66;-6,27744e+66;1;-6,27744e+66;1e+10;1e+10;1;-6,27744e+66;-6,27744e+66;1;-6,27744e+66;1e+10;1e+10;1;-6,27744e+66;-6,27744e+66;1;-6,27744e+66;1e+10;1e+10;1;-6,27744e+66;-6,27744e+66;1;-6,27744e+66;1e+10;1e+10;1;-6,27744e+66;-6,27744e+66;1;10;-4,70817113890763
1232;0,42725;2,38781;2,263;1,05515;0,42787;0,422673;1,0123;0,577639;1,75184;1,72695;1,01442;0,590786;0,576797;1,02425;0,599372;1,6866;1,67955;1,00419;0,602517;0,596915;1,00938;0,571976;1,76968;1,75339;1,00929;0,580888;0,570232;1,01869;0,379922;2,66386;2,46333;1,08141;0,379651;0,374359;1,01414;0,358272;2,76713;2,50991;1,10248;0,36615;0,354176;1,03381;12;-5,03553571737513
1233;0,409046;2,50091;2,40304;1,04073;0,405617;0,403836;1,00441;0,481766;2,11171;2,04622;1,032;0,490116;0,479664;1,02179;0,537277;1,88703;1,87625;1,00575;0,536616;0,533918;1,00505;0,515459;1,9694;1,94816;1,01091;0,519292;0,512761;1,01274;0,373443;2,69173;2,46804;1,09064;0,37772;0,368468;1,02511;0,37062;2,68564;2,44399;1,09888;0,377633;0,365927;1,03199;21;5,12814657185862
